"call","grant_type","domain","area","sub_area","reference","title","main_researcher","institution","requested_funds","awarded_funds","feder_funding"
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/0376/2012","A função dos canais sensiveis a glutamato (GLR) em tubos polinicos","José Alberto Bernardo de Magalhães Feijó","Fundação Calouste Gulbenkian (FCG)",199848,199848,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/0468/2012","Terminação da transcrição e a função da RNA polimerase II na poliadenilação alternativa","Maria Alexandra Marques Moreira Mourão Carmo","Instituto de Biologia Molecular e Celular (IBMC/UP)",129035,129035,109679.75
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/0493/2012","Quando os espermatezoids se esqueçem","Odete Abreu Beirão da Cruz e Silva","Universidade de Aveiro (UA)",200000,200000,170000
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/0654/2012","Actina e miosina II no anel contractil - mechanismos de contração","Ana Costa Xavier de Carvalho","Instituto de Biologia Molecular e Celular (IBMC/UP)",199771,199771,169805.35
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/1217/2012","Mecanismos de regulação pós-transcripcional do factor de transcrição XBP1: um potencial modulador de patologias associadas a UPR","Maria Fátima Afonso Cairrão","Instituto de Tecnologia Química e Biológica (ITQB/UNL)",138220,138220,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia do Desenvolvimento","PTDC/BEX-BID/1176/2012","Regulação do crescimento de tecidos durante a regeneração em zebrafish","António Alfredo Coelho Jacinto","Faculdade de Ciências Médicas (FCM/UNL)",198504,198504,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Genética e Genómica ","PTDC/BEX-GMG/0242/2012","Avaliação do papel da proteólise no sistema reprodutor masculino através do estudo dos agrupamentos génicos de KLK (19q13.4) e WFDC (20q13).","Susana Alves Seixas","Instituto de Patologia e Imunologia Molecular (IPATIMUP/UP)",199980,199980,169983
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0282/2012","Bases moleculares da remoção de agregados proteicos em doenças de agregação de proteínas","Maria João Gameiro de Mascarenhas Saraiva","Instituto de Biologia Molecular e Celular (IBMC/UP)",191265,191265,162575.25
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0650/2012","Estudo Portugues de miocardiopatias dilatadas familiares","Elisabete Lousada Martins de Oliveira Bernardes","Sociedade Portuguesa de Cardiologia (SPC)",114770,114770,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0651/2012","Estudo da contribuição dos miRNAs para o metabolismo do peptídeo b-amilóide: desenvolvimento de uma plataforma lentiviral para expressão de múltiplos miRNAs no contexto da doença de Alzheimer","Ana Luísa Colaço Cardoso","Centro de Neurociências e Biologia Celular (CNBC/UC)",124800,100800,85680
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0873/2012","Com o miR-21 e os receptores ativados pelos ácidos biliares em mira na patogénese do fígado gordo não alcoólico: duas balas para um homicídio?","Rui Eduardo Mota Castro","FARM-ID, Associação da Faculdade de Farmácia para a Investigação e Desenvolvimento (FARM-ID)",172323,152000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0913/2012","Do controlo da neuroinflamação à neuroproteção: bloqueio dos receptores A2A para o tratamento do glaucoma","Ana Raquel Sarabando Santiago","Universidade de Coimbra (UC)",159832,159832,135857.2
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0998/2012","Novos microRNAs envolvidos no processo de remodelagem reversa após remoção da sobrecarga ventricular: potenciais alvos terapêuticos e biomarcadores","Inês Maria Falcão Sousa Pires Marques","Faculdade de Medicina da Universidade do Porto (FM/UP)",94012,94012,79910.2
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/1051/2012","Estudo de estirpes ulcerogénicas de Helicobacter pylori isoladas de crianças: contributo para o conhecimento da patógenese da úlcera péptica pediátrica.","Mónica Alexandra Sousa Oleastro","Pró-INSA, Associação para a Promoção da Investigação em Saúde (Pró-INSA/INSARJ)",74429,74429,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/1168/2012","Novos conhecimentos sobre o mecanismo de calcificação vascular em doença renal crónica (DRC): o papel da GRP","Carla Alexandra São Bento Viegas","Centro de Ciências do Mar (CCMar/CIMAR)",155177,155177,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/0251/2012","Modulação da Via Apoptótica Mitocondrial para Estimular a Diferenciação Neural","Susana Zeferino Solá da Cruz","FARM-ID, Associação da Faculdade de Farmácia para a Investigação e Desenvolvimento (FARM-ID)",140068,105000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/0352/2012","Regulação da expressão génica da eritropoietina humana por uma pequena grelha de leitura e isquémia do miocardio","Luisa Maria Ferreira Romão Loison","Fundação da Faculdade de Ciências (FFC/FC/UL)",139928,110000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/1047/2012","Terapia baseada no receptor Y1 para reparação óssea: comportamento do antagonista e libertação no microambiente ósseo danificado","Meriem Lamghari Moubarrad","Instituto Nacional de Engenharia Biomédica (INEB Porto)",180926,180926,153787.1
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/1063/2012","Cronobiologia das Células Estaminais Mesenquimatosas Humanas: Estudo da interligação entre o relógio circadiano e o relógio embrionário","Isabel Maria Mestre Marques Palmeirim de Alfarra Esteves","Universidade do Algarve (UAlg)",175467,130000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/1118/2012","Plataformas combinatoriais para promover a sobrevivência celular- PROSURVIVAL","Hugo Agostinho Machado Fernandes","Centro de Neurociências e Biologia Celular (CNBC/UC)",166344,130000,110500
